column,missing_rate
AMT_PAYMENT_CURRENT,0.19998062657409085
AMT_DRAWINGS_ATM_CURRENT,0.1952487193748841
CNT_DRAWINGS_POS_CURRENT,0.1952487193748841
AMT_DRAWINGS_OTHER_CURRENT,0.1952487193748841
AMT_DRAWINGS_POS_CURRENT,0.1952487193748841
CNT_DRAWINGS_OTHER_CURRENT,0.1952487193748841
CNT_DRAWINGS_ATM_CURRENT,0.1952487193748841
CNT_INSTALMENT_MATURE_CUM,0.0794820837473622
AMT_INST_MIN_REGULARITY,0.0794820837473622
SK_ID_PREV,0.0
AMT_TOTAL_RECEIVABLE,0.0
SK_DPD,0.0
NAME_CONTRACT_STATUS,0.0
CNT_DRAWINGS_CURRENT,0.0
AMT_PAYMENT_TOTAL_CURRENT,0.0
AMT_RECIVABLE,0.0
AMT_RECEIVABLE_PRINCIPAL,0.0
SK_ID_CURR,0.0
AMT_DRAWINGS_CURRENT,0.0
AMT_CREDIT_LIMIT_ACTUAL,0.0
AMT_BALANCE,0.0
MONTHS_BALANCE,0.0
SK_DPD_DEF,0.0
