column,missing_values,missing_rate
CC_AMT_PAYMENT_CURRENT_VAR,246888,0.8028695281733425
CC_AMT_DRAWINGS_POS_CURRENT_VAR,246814,0.8026288832449343
CC_AMT_DRAWINGS_ATM_CURRENT_VAR,246814,0.8026288832449343
CC_CNT_DRAWINGS_OTHER_CURRENT_VAR,246814,0.8026288832449343
CC_AMT_DRAWINGS_OTHER_CURRENT_VAR,246814,0.8026288832449343
CC_CNT_DRAWINGS_POS_CURRENT_VAR,246814,0.8026288832449343
CC_CNT_DRAWINGS_ATM_CURRENT_VAR,246814,0.8026288832449343
CC_AMT_PAYMENT_CURRENT_MIN,246447,0.8014354144783696
CC_AMT_PAYMENT_CURRENT_MAX,246447,0.8014354144783696
CC_AMT_PAYMENT_CURRENT_MEAN,246447,0.8014354144783696
CC_AMT_DRAWINGS_POS_CURRENT_MEAN,246367,0.8011752577990094
CC_AMT_DRAWINGS_ATM_CURRENT_MAX,246367,0.8011752577990094
CC_AMT_DRAWINGS_POS_CURRENT_MAX,246367,0.8011752577990094
CC_AMT_DRAWINGS_POS_CURRENT_MIN,246367,0.8011752577990094
CC_AMT_DRAWINGS_OTHER_CURRENT_MEAN,246367,0.8011752577990094
CC_AMT_DRAWINGS_OTHER_CURRENT_MAX,246367,0.8011752577990094
CC_AMT_DRAWINGS_OTHER_CURRENT_MIN,246367,0.8011752577990094
CC_CNT_DRAWINGS_POS_CURRENT_MEAN,246367,0.8011752577990094
CC_CNT_DRAWINGS_ATM_CURRENT_MIN,246367,0.8011752577990094
CC_CNT_DRAWINGS_POS_CURRENT_MAX,246367,0.8011752577990094
CC_AMT_DRAWINGS_ATM_CURRENT_MEAN,246367,0.8011752577990094
CC_CNT_DRAWINGS_ATM_CURRENT_MAX,246367,0.8011752577990094
CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,246367,0.8011752577990094
CC_CNT_DRAWINGS_OTHER_CURRENT_MEAN,246367,0.8011752577990094
CC_CNT_DRAWINGS_POS_CURRENT_MIN,246367,0.8011752577990094
CC_CNT_DRAWINGS_OTHER_CURRENT_MIN,246367,0.8011752577990094
CC_CNT_DRAWINGS_OTHER_CURRENT_MAX,246367,0.8011752577990094
CC_AMT_DRAWINGS_ATM_CURRENT_MIN,246367,0.8011752577990094
BURO_AMT_ANNUITY_MAX,227498,0.7398140530134273
BURO_AMT_ANNUITY_MEAN,227498,0.7398140530134273
CC_AMT_INST_MIN_REGULARITY_VAR,221234,0.719443785019528
CC_CNT_DRAWINGS_CURRENT_VAR,221234,0.719443785019528
CC_SK_DPD_DEF_VAR,221234,0.719443785019528
CC_AMT_RECIVABLE_VAR,221234,0.719443785019528
CC_AMT_BALANCE_VAR,221234,0.719443785019528
CC_CNT_INSTALMENT_MATURE_CUM_VAR,221234,0.719443785019528
CC_AMT_DRAWINGS_CURRENT_VAR,221234,0.719443785019528
CC_AMT_PAYMENT_TOTAL_CURRENT_VAR,221234,0.719443785019528
CC_SK_DPD_VAR,221234,0.719443785019528
CC_AMT_TOTAL_RECEIVABLE_VAR,221234,0.719443785019528
CC_MONTHS_BALANCE_VAR,221234,0.719443785019528
CC_AMT_CREDIT_LIMIT_ACTUAL_VAR,221234,0.719443785019528
CC_AMT_RECEIVABLE_PRINCIPAL_VAR,221234,0.719443785019528
CC_AMT_RECEIVABLE_PRINCIPAL_SUM,220602,0.7173885472525828
CC_AMT_RECEIVABLE_PRINCIPAL_MEAN,220602,0.7173885472525828
CC_AMT_RECEIVABLE_PRINCIPAL_MAX,220602,0.7173885472525828
CC_AMT_TOTAL_RECEIVABLE_MEAN,220602,0.7173885472525828
CC_AMT_RECIVABLE_MIN,220602,0.7173885472525828
CC_AMT_RECIVABLE_MAX,220602,0.7173885472525828
CC_AMT_RECIVABLE_MEAN,220602,0.7173885472525828
CC_AMT_RECIVABLE_SUM,220602,0.7173885472525828
CC_AMT_TOTAL_RECEIVABLE_MIN,220602,0.7173885472525828
CC_AMT_TOTAL_RECEIVABLE_MAX,220602,0.7173885472525828
CC_AMT_TOTAL_RECEIVABLE_SUM,220602,0.7173885472525828
